budget_used,budget_raw,mean_acc_matchprior_inductive,std_acc_matchprior_inductive,full_mean,target_mean(full-delta)
0,0,0.6445910290237465,0.038534511243158626,0.6799472295514511,0.6699472295514511
10,10,0.6627968337730871,0.046939102634932,0.6799472295514511,0.6699472295514511
20,20,0.6683377308707124,0.059064386833077964,0.6799472295514511,0.6699472295514511
50,50,0.6691292875989445,0.05146936624927538,0.6799472295514511,0.6699472295514511
100,100,0.6663588390501319,0.052570945440245896,0.6799472295514511,0.6699472295514511
200,200,0.6862796833773087,0.06859460589645483,0.6799472295514511,0.6699472295514511
500,500,0.6815303430079156,0.05689175364454057,0.6799472295514511,0.6699472295514511
1000,1000,0.6856200527704485,0.061431763539368314,0.6799472295514511,0.6699472295514511
2000,2000,0.6858839050131926,0.06328054760494464,0.6799472295514511,0.6699472295514511
4000,4000,0.6841688654353562,0.06356525816666464,0.6799472295514511,0.6699472295514511
5805,-1,0.6799472295514511,0.06359605379763972,0.6799472295514511,0.6699472295514511
