budget_used,budget_raw,mean_acc_matchprior,std_acc_matchprior,full_mean,target_mean(full-delta)
0,0,0.5774834437086093,0.0,0.5562913907284768,0.5462913907284768
10,10,0.5748344370860927,0.0,0.5562913907284768,0.5462913907284768
20,20,0.5801324503311258,0.0,0.5562913907284768,0.5462913907284768
50,50,0.595364238410596,0.0,0.5562913907284768,0.5462913907284768
100,100,0.6033112582781457,0.0,0.5562913907284768,0.5462913907284768
200,200,0.5735099337748344,0.0,0.5562913907284768,0.5462913907284768
500,500,0.5337748344370861,0.0,0.5562913907284768,0.5462913907284768
1000,1000,0.5470198675496689,0.0,0.5562913907284768,0.5462913907284768
2000,2000,0.5178807947019868,0.0,0.5562913907284768,0.5462913907284768
4000,4000,0.5423841059602649,0.0,0.5562913907284768,0.5462913907284768
5805,-1,0.5562913907284768,0.0,0.5562913907284768,0.5462913907284768
